KarmaNumber,DinoNumber
181,8
230,12
293,44
243,65
27,72
335,85
483,105
525,124
177,158
104,167
469,185
42,197
402,200
244,202
434,204
481,239
343,246
339,306
150,343
8,384
170,388
41,391
474,393
396,406
467,411
185,420
2,434
81,441
161,444
312,454
492,456
390,465
389,472
123,505
159,511
432,523
542,544
92,545
55,562
512,586
399,605
101,636
151,658
84,679
381,681
212,688
277,689
321,696
52,748
416,753
160,785
254,825
23,828
264,830
548,833
315,837
468,844
366,875
178,897
465,899
211,903
11,906
449,929
139,940
22,958
331,965
259,986
471,1014
550,1044
278,1128
478,1144
256,1148
173,1150
188,1190
47,1197
453,1201
501,1218
200,1227
229,1231
411,1239
56,1256
397,1262
554,1268
334,1293
358,1327
522,1363
531,1395
68,1413
404,1419
199,1424
166,1430
516,1449
25,1477
462,1488
20,1507
193,1556
234,1671
545,1685
546,1686
314,1698
45,1721
233,1765
198,1828
395,1831
223,1905
326,1970
517,1973
125,2031
496,2082
418,2156
60,2227
288,2228
78,2244
7,2258
436,2260
289,2301
63,2320
466,2362
190,2369
54,2370
17,2379
491,2390
450,2480
186,2497
514,2503
99,2520
165,2532
218,2536
79,2594
270,2601
149,2606
207,2646
122,2684
361,2711
523,2716
44,2724
208,2804
427,2814
435,2825
302,2852
227,2856
50,2867
142,2871
59,2891
209,2908
412,2917
76,2960
80,3037
385,3047
344,3048
374,3057
274,3095
499,3115
405,3116
255,3125
392,3135
368,3137
109,3138
365,3145
71,3167
103,3206
164,3207
290,3212
162,3223
239,3253
281,3286
91,3287
497,3292
503,3305
463,3336
117,3341
394,3410
83,3427
187,3514
61,3522
373,3568
502,3574
34,3597
472,3599
18,3643
482,3648
153,3660
384,3664
352,3704
118,3708
67,3709
362,3739
333,3748
203,3761
96,3762
210,3801
420,3811
371,3812
486,3890
66,3893
271,3902
538,3926
431,3935
202,3944
105,3963
93,3976
215,3987
461,3991
119,4025
113,4030
148,4058
107,4061
406,4080
253,4085
364,4091
137,4095
458,4101
106,4120
32,4122
414,4131
146,4155
115,4204
217,4219
240,4237
505,4255
127,4270
0,4304
488,4324
329,4337
57,4338
126,4374
354,4395
111,4397
520,4402
537,4412
220,4451
158,4515
417,4546
156,4619
251,4642
323,4680
359,4696
258,4705
232,4733
174,4745
46,4748
304,4765
128,4795
280,4813
74,4869
97,4871
441,4874
49,4878
201,4893
147,4915
235,4923
509,4934
330,4937
184,4960
423,4974
86,4977
430,4982
238,4983
464,4986
357,4988
205,5002
143,5003
252,5009
73,5013
133,5019
15,5031
489,5083
216,5084
380,5097
493,5126
328,5129
26,5132
16,5168
169,5169
175,5170
272,5198
452,5201
296,5212
401,5219
363,5245
36,5271
477,5279
424,5282
425,5329
21,5342
300,5352
438,5356
440,5419
393,5421
400,5429
4,5457
306,5475
552,5486
485,5505
70,5518
459,5523
378,5533
24,5543
145,5546
263,5554
241,5580
114,5585
38,5587
155,5592
95,5612
110,5618
369,5717
262,5774
40,5779
415,5787
519,5798
336,5804
310,5805
144,5808
324,5817
172,5878
168,5889
29,5936
507,5965
532,5968
1,5969
377,5974
108,5986
157,5990
301,5997
308,6079
543,6142
242,6153
285,6162
284,6183
320,6201
62,6215
286,6217
426,6228
307,6230
28,6232
180,6239
349,6264
387,6271
141,6272
189,6288
327,6307
69,6347
429,6367
154,6376
31,6404
120,6422
398,6424
152,6426
279,6448
37,6456
246,6478
317,6479
179,6483
98,6536
236,6540
529,6546
265,6553
12,6560
268,6564
316,6591
410,6600
551,6609
445,6611
43,6623
348,6665
476,6668
298,6742
195,6749
506,6773
261,6877
192,6920
248,6935
245,6951
447,6982
48,6986
539,6987
370,7000
325,7034
136,7049
30,7067
351,7076
391,7100
309,7111
53,7137
267,7143
100,7172
347,7201
448,7213
257,7221
182,7244
443,7260
515,7263
129,7270
10,7275
273,7280
64,7295
39,7318
319,7351
297,7365
487,7367
527,7373
475,7391
524,7413
346,7452
535,7456
35,7511
460,7541
421,7545
530,7585
89,7598
163,7618
9,7664
219,7666
269,7691
508,7731
247,7741
13,7751
72,7752
409,7779
338,7780
521,7848
204,7852
282,7865
454,7888
221,7907
138,7944
249,7958
511,7980
547,7997
295,8002
135,8011
171,8022
375,8031
407,8062
403,8068
480,8083
77,8130
350,8139
318,8154
6,8181
360,8184
194,8203
457,8216
383,8286
183,8307
337,8315
94,8361
197,8407
495,8432
292,8438
65,8495
428,8515
14,8525
275,8533
131,8534
455,8559
513,8589
250,8607
116,8619
299,8621
408,8637
386,8686
283,8689
500,8691
176,8716
367,8747
413,8796
311,8799
237,8826
19,8848
534,8866
382,8876
353,8902
422,8910
58,8932
313,8933
498,8937
322,8951
90,8968
536,8972
388,8980
3,9000
134,9007
479,9008
5,9023
549,9025
231,9030
342,9034
130,9049
510,9053
504,9057
305,9062
484,9072
433,9098
470,9115
379,9139
222,9144
87,9157
214,9158
355,9165
332,9181
132,9190
490,9194
473,9198
121,9215
340,9239
225,9264
526,9265
206,9272
376,9274
544,9306
442,9318
528,9340
446,9344
303,9356
494,9364
102,9366
276,9372
451,9397
533,9412
356,9421
419,9433
439,9481
82,9502
294,9534
372,9555
456,9568
553,9599
541,9605
51,9618
167,9621
228,9648
345,9667
260,9669
226,9691
266,9721
291,9728
75,9729
341,9737
88,9744
196,9747
140,9759
124,9781
213,9812
33,9830
224,9843
191,9863
540,9874
437,9882
287,9888
85,9889
112,9894
444,9899
518,9914
