Dino Number,Image,Classification,Level,Breeding Charges,Trait Count,Background,Body,Face,Headwear,Eyes,Clothes,Accessory
0,https://img.dapperdinos.com/dinos/PkAgXzjTXuUMOTp.png,OG,5,5,5,Spiffy Blue,Lava,Lava Split,Spikes Gold,<none>,Toga,<none>
1,https://img.dapperdinos.com/dinos/bgwKTFZOZFg4ZW2.png,OG,5,5,6,Crisp Green,Yellow,Unimpressed,Mech,Chill,Polo Teal,<none>
2,https://img.dapperdinos.com/dinos/o2VkHMfgUwE7ej3.png,OG,5,5,7,Dashing Purple,Grey,Happy,Dino Helmet Bonehead,Hearts,Flannel,Nosehorn Gold
3,https://img.dapperdinos.com/dinos/z6C5H3J6MzrPaWM.png,OG,5,5,6,Dashing Purple,Blue,Toothy Smile,Crown,Popped Dots,Pirate,<none>
4,https://img.dapperdinos.com/dinos/JZeTh9xkmJhGFL3.png,OG,5,5,5,Dapper Cyan,Charcoal,Happy,<none>,Allergies,Suit Grey,<none>
5,https://img.dapperdinos.com/dinos/jnY2OPEm7m26hXa.png,OG,5,5,6,Dapper Cyan,Blue Spotted,Happy,Short Hair Blonde,Chill Lashes,Hoodie Grey,<none>
6,https://img.dapperdinos.com/dinos/GhddS52TZwYZVpS.png,OG,5,5,6,Spiffy Blue,Green Spotted,Tongue,Wizard Hat,Bliss Lashes,Pepe Jacket,<none>
7,https://img.dapperdinos.com/dinos/wjIuyCppagVY5RQ.png,OG,5,5,6,Dapper Cyan,Yellow Spotted,Happy,Dino Helmet,Chill Lashes,Tracksuit Spotted,<none>
8,https://img.dapperdinos.com/karmacollective/K181.png,Karma,5,6,8,Rich Tu Yellow,Grey Spotted,Toothy Smile,Cowboy Hat,Chill,Spiked Jacket,Sunglasses
9,https://img.dapperdinos.com/dinos/EqeEUiN2IhxjoHw.png,OG,5,5,6,Dapper Cyan,Green,Happy,Halo Shiny,Happy Lashes,Pirate,<none>
10,https://img.dapperdinos.com/dinos/lPaxPtFdNpAZmLx.png,OG,5,5,6,Dapper Cyan,Green,Two Tooth,Short Hair Brown,Happy Lashes,Chef,<none>
11,https://img.dapperdinos.com/dinos/VoVRP5tjpjz8H3A.png,OG,5,5,7,Spiffy Blue,Blue,Happy,High Top Fade Stars,Chill,Toga,Nosehorn
12,https://img.dapperdinos.com/karmacollective/K230.png,Karma,5,6,6,Rich Tu Green,Blue,Two Tooth,<none>,Hypno,Polo Pink,<none>
13,https://img.dapperdinos.com/dinos/JXOZ5lb1V0VLgdj.png,OG,5,5,7,Nifty Yellow,Yellow,Toothy Smile,Cycling Cap,Happy Lashes,Tiedye,Monocle
14,https://img.dapperdinos.com/dinos/9tC28FYSPLQtvkm.png,OG,5,5,7,Crisp Green,Green,Happy,Donut,Bliss Lashes,Polo Tiger,Chain
15,https://img.dapperdinos.com/dinos/F9jnvpU8gLTIir3.png,OG,5,5,6,Dapper Cyan,Charcoal,Tongue,Grey Beanie,Chill,Toga,<none>
16,https://img.dapperdinos.com/dinos/D4VXyWCWNBhBMqu.png,OG,5,5,6,Nifty Yellow,Green Spotted,Derpy,Sombrero,Hollow,Rosies Denim,<none>
17,https://img.dapperdinos.com/dinos/dFiL7a7xVwJitim.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Horns Broken,Allergies,Spiked Jacket,<none>
18,https://img.dapperdinos.com/dinos/sketch18.jpeg,OG,5,5,2,Sketch,Sketch,<none>,<none>,<none>,<none>,<none>
19,https://img.dapperdinos.com/dinos/NPw6yN4L16DZTwe.png,OG,5,5,3,Dashing Purple,Bones,<none>,Spikes Holo,<none>,<none>,<none>
20,https://img.dapperdinos.com/dinos/XEHB2zBlZOE63GX.png,OG,5,5,6,Crisp Green,Green,Grin,Spikes Diamond,Happy Lashes,Varsity Jacket,<none>
21,https://img.dapperdinos.com/dinos/bBAjEAbs5Z33Sad.png,OG,5,5,6,Crisp Green,Charcoal,Tongue,Cap Grey,Chill,<none>,Monocle
22,https://img.dapperdinos.com/dinos/lvJsxGHpechhnMs.png,OG,5,5,6,Crisp Green,Yellow Spotted,Tongue,Short Hair Blonde,Bliss,Grandmas Sweater,<none>
23,https://img.dapperdinos.com/dinos/W6ixl1XDdKt2yeY.png,OG,5,5,6,Spiffy Blue,Teal,Tongue,King Bonehead,Hearts,Labcoat,<none>
24,https://img.dapperdinos.com/dinos/O7TCUfKAz22u4VC.png,OG,5,5,6,Crisp Green,Green Spotted,Derpy,Tophat,Mask Dead,Scarf,<none>
25,https://img.dapperdinos.com/dinos/HDA9sRDsowdjr8S.png,OG,5,5,6,Spiffy Blue,Charcoal Spotted,Happy,Digger Hat Bonehead,Chill,Rosies Denim,<none>
26,https://img.dapperdinos.com/dinos/eFMAPgCFekDtYdX.png,OG,5,5,6,Crisp Green,Green Spotted,Grin,Cap Red Backwards,Hypno,Robe,<none>
27,https://img.dapperdinos.com/dinos/1R57Pxi8pWcZmdt.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Sombrero,Chill,Robe,<none>
28,https://img.dapperdinos.com/dinos/QqezkW7Hex0rsoN.png,OG,5,5,5,Dapper Cyan,Blue,Happy,Crown,Cyclops,<none>,<none>
29,https://img.dapperdinos.com/dinos/Y2UKGkW822RGkaj.png,OG,5,5,7,Crisp Green,Teal,Happy,Fedora,Hypno,Suit Grey,Nosehorn
30,https://img.dapperdinos.com/dinos/HjtyJK31AVVcPZa.png,OG,5,5,7,Crisp Green,Grey,Happy,Cycling Cap,Mask Chill,Polo Tiger,Chain
31,https://img.dapperdinos.com/dinos/AfbWnN7GHVqgmPq.png,OG,5,5,6,Dapper Cyan,Yellow,Tongue,Pirate Hat,Mask Happy,Flannel,<none>
32,https://img.dapperdinos.com/dinos/wAeArBBTPSNb5Gv.png,OG,5,5,7,Crisp Green,Charcoal,Happy,King,Happy Lashes,Pirate,Nosehorn Gold
33,https://img.dapperdinos.com/dinos/LctCpHHbuWhQpm6.png,OG,5,5,7,Nifty Yellow,Grey Spotted,Unimpressed,Cap Grey,Happy,Suspenders,Pipe
34,https://img.dapperdinos.com/dinos/du6YXyvBKgsO1sJ.png,OG,5,5,6,Crisp Green,Teal,Happy,Cap Camo,Mask Chill,<none>,Monocle
35,https://img.dapperdinos.com/dinos/1MjtjjseZ62s1ol.png,OG,5,5,6,Crisp Green,Blue Spotted,Two Tooth,Digger Hat Bonehead,Hypno,Hoodie Yellow,<none>
36,https://img.dapperdinos.com/dinos/drQv3I5mKfEvq4T.png,OG,5,5,7,Nifty Yellow,Blue,Derpy,Bucket Hat,Chill Lashes,Suit Dapper Blue,Nosehorn
37,https://img.dapperdinos.com/dinos/a6SQAAfftqbOBoY.png,OG,5,5,7,Elegant Red,Blue,Derpy,Spikes Bone,Chill,Basketball Jersey,3D Glasses
38,https://img.dapperdinos.com/dinos/mPAbRHMDHStcrwy.png,OG,5,5,7,Elegant Red,Charcoal,Toothy Smile,Grey Hair Sweep,Hypno,Pirate,Sunglasses
39,https://img.dapperdinos.com/dinos/VKYj0sS1TkYgiaq.png,OG,5,5,7,Snazzy Orange,Charcoal Spotted,Happy,Long Hair Blonde,Bliss,Tshirt Stripe,Pearls
40,https://img.dapperdinos.com/dinos/ITqpb37pgMJAOqo.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Cap Grey,Cyclops Lashes,Labcoat,<none>
41,https://img.dapperdinos.com/dinos/x6ye58VTgqMuiXa.png,OG,5,5,7,Nifty Yellow,Charcoal,Happy,Jiangshi,Chill,Astronaut,Monocle
42,https://img.dapperdinos.com/dinos/1IghL4sjefJRm60.png,OG,5,5,6,Dapper Cyan,Teal,Happy,Stars,Happy,Suit Navy,<none>
43,https://img.dapperdinos.com/dinos/BIYIexKGaKmXPrq.png,OG,5,5,6,Spiffy Blue,Charcoal Spotted,Happy,Grey Hair Sweep,Hollow,Tshirt Camo,<none>
44,https://img.dapperdinos.com/karmacollective/K293.png,Karma,5,6,7,Bakeroner Green 3,Charcoal,Tongue,Cap Red Backwards,Happy Lashes,Pepe Jacket,<none>
45,https://img.dapperdinos.com/dinos/pgdMWYY0kILOHDP.png,OG,5,5,5,Dapper Cyan,Charcoal,Derpy,Tophat,Chill,<none>,<none>
46,https://img.dapperdinos.com/dinos/kgBuCzm5poNMeWG.png,OG,5,5,6,Fly Magenta,Green,Two Tooth Beard,Halo Shiny,Allergies,Chef,<none>
47,https://img.dapperdinos.com/dinos/r4mPFu1tJFqxcem.png,OG,5,5,7,Snazzy Orange,Yellow,Unimpressed,Rosies Red Bandana,Hypno,Tshirt Trex White,Wheat
48,https://img.dapperdinos.com/dinos/HpH09M1SI3alH1F.png,OG,5,5,5,Dapper Cyan,Blue,Happy,High Top Fade Halo,Chill,<none>,<none>
49,https://img.dapperdinos.com/dinos/aamjjLl8b1IVu3L.png,OG,5,5,6,Dapper Cyan,Green,Happy,Karate,Bliss,Suit Dapper Blue,<none>
50,https://img.dapperdinos.com/dinos/OuHq1dbOPLGO7nZ.png,OG,5,5,6,Spiffy Blue,Yellow,Grin,Cowboy Hat,Hypno,Varsity Jacket,<none>
51,https://img.dapperdinos.com/dinos/6VvpFqYBd66TVyH.png,OG,5,5,7,Nifty Yellow,Charcoal,Happy,Cowboy Hat,Mask Hearts,Robe,3D Glasses
52,https://img.dapperdinos.com/dinos/8s3A9tk70NVs87Z.png,OG,5,5,6,Snazzy Orange,Yellow,Grin,Egghead,Blush,Tshirt Trex Grey,<none>
53,https://img.dapperdinos.com/dinos/d1DQJPrIg5r7MoL.png,OG,5,5,7,Snazzy Orange,Teal,Unimpressed,Soldier,Hollow,Tshirt Black,Wheat
54,https://img.dapperdinos.com/dinos/1AlpqSahts3lsTF.png,OG,5,5,6,Nifty Yellow,Charcoal,Grin,Bonehead Holo,Hearts,Suit Grey,<none>
55,https://img.dapperdinos.com/dinos/VIzQp2XxXYOwUZu.png,OG,5,5,6,Spiffy Blue,Grey,Derpy,Fro,Bliss,Labcoat,<none>
56,https://img.dapperdinos.com/dinos/8ljAqOoxVWUB04Q.png,OG,5,5,6,Crisp Green,Green Spotted,Unimpressed,Cowboy Hat,Happy Lashes,<none>,Pipe
57,https://img.dapperdinos.com/dinos/bFlFbghsHDjxZ3P.png,OG,5,5,5,Dapper Cyan,Charcoal Spotted,Happy,Jiangshi,Happy Lashes,<none>,<none>
58,https://img.dapperdinos.com/dinos/awiN6Gn76hoJnZT.png,OG,5,5,6,Crisp Green,Teal,Tongue,Bonehead,Happy Lashes,Suspenders,<none>
59,https://img.dapperdinos.com/dinos/7I9iZSs5Vwss4De.png,OG,5,5,7,Snazzy Orange,Blue,Grin,High Top Fade Stars,Hearts,Polo Teal,Nosehorn
60,https://img.dapperdinos.com/dinos/xvZ8SXKn5R3fmZy.png,OG,5,5,6,Dapper Cyan,Teal,Happy,Soldier,Happy Lashes,Robe,<none>
61,https://img.dapperdinos.com/dinos/pwpEsQoYkWwRYUS.png,OG,5,5,7,Snazzy Orange,Yellow,Two Tooth,Pirate Hat,Hearts,Spiked Jacket,Nosehorn
62,https://img.dapperdinos.com/dinos/mR45Q4S1UJfj4NP.png,OG,5,5,6,Spiffy Blue,Green,Toothy Smile,British,Bliss Lashes,Tshirt Stripe,<none>
63,https://img.dapperdinos.com/dinos/6YIWQGxYX2YGPl4.png,OG,5,5,5,Dapper Cyan,Green,Happy,<none>,Happy,Flannel,<none>
64,https://img.dapperdinos.com/dinos/lQV4es5MYAbqfmh.png,OG,5,5,6,Dapper Cyan,Yellow,Tongue,Chefs Hat Bonehead,Chill Lashes,Tiedye,<none>
65,https://img.dapperdinos.com/karmacollective/K243.png,Karma,5,6,7,Bakeroner Green 1,Yellow Spotted,Happy,Dino Helmet,Mask Dead,Tshirt Camo,<none>
66,https://img.dapperdinos.com/dinos/s3TE0wK7vSBiKgN.png,OG,5,5,6,Crisp Green,Teal,Grin,Horns Broken,Allergies,Suit Dapper Grey,<none>
67,https://img.dapperdinos.com/dinos/tdfIEOWNpJoGvYN.png,OG,5,5,6,Dapper Cyan,Green,Happy,Fro,Cyclops,Suit Dapper Blue,<none>
68,https://img.dapperdinos.com/dinos/vQNkRm6HS8PQXBW.png,OG,5,5,6,Spiffy Blue,Charcoal Spotted,Happy,Jiangshi,Mask Happy,Pirate,<none>
69,https://img.dapperdinos.com/dinos/9PHvDX0vqFoYbQ5.png,OG,5,5,6,Spiffy Blue,Teal,Tongue,Motorcycle Helmet,Chill,Polo Pink,<none>
