Trait,StartingCap,MaxCap
MECH,65,99
BONEHEAD HOLO,64,98
SPIKES DIAMOND,63,97
BOWLER GREEN,62,96
UNICORN RAINBOW,62,96
HALO SHINY,61,95
CAPTAIN HOLO,61,95
MUMMY,60,94
SPIKES GLASS,59,93
ASTRONAUT HELMET CLOSED,59,93
BONEHEAD GOLD,58,92
SPIKES HOLO,58,92
SPIKES BONE,57,91
SPIKES GOLD,57,91
ASTRONAUT HELMET OPEN,56,90
FRO SPARKLE,55,89
LONG HAIR RED,55,89
BONEHEAD,55,89
LONG HAIR BROWN,54,88
HALO,54,88
BONEHEAD SILVER,53,87
LONG HAIR BLONDE,53,87
DINO GRABBER,53,87
EGGHEAD,53,87
CROWN,52,86
DONUT,51,85
HIGH TOP FADE HALO,51,85
CYCLING CAP BONEHEAD,49,83
WIZARD HAT,49,83
BOWLER BLACK EMBLEM,49,83
FRO,48,82
KARATE,48,82
BRITISH,48,82
BRAIN,47,81
GREY BEANIE,47,81
TOPHAT BONEHEAD,47,81
DONUT BONEHEAD,47,81
CAP GREY,47,81
CHEFS HAT BONEHEAD,47,81
KING BONEHEAD,47,81
CAP NEON,46,80
SOLDIER,46,80
DIGGER HAT BONEHEAD,46,80
HIGH TOP FADE,46,80
CAP CAMO,45,79
DINO HELMET BONEHEAD,45,79
GREY HAIR SWEEP,45,79
CAPTAIN,45,79
SHORT HAIR BROWN,45,79
CHEFS HAT,45,79
DINO HELMET,45,79
HORNS BROKEN,45,79
BOWLER BLACK,45,79
BUCKET HAT,44,78
COWBOY HAT,44,78
MOTORCYCLE HELMET,44,78
SHORT HAIR BLONDE,44,78
JIANGSHI,44,78
DONUT HORNS,44,78
ROSIES RED BANDANA,44,78
CYCLING CAP,43,77
HORNS,43,77
CAP RED BACKWARDS,43,77
KING,43,77
DIGGER HAT,43,77
HIGH TOP FADE STARS,43,77
FEDORA,42,76
PIRATE HAT,42,76
SOMBRERO,41,75
STARS,39,73
TOPHAT,38,72
NONE,35,69
