Dino Number,Shield,Strength,Health,Attack,Speed,Brain
1,55,48,76,51,50,42
2,55,73,79,51,60,50
3,63,79,66,68,50,56
4,45,57,52,53,56,36
5,54,71,74,55,48,46
6,63,57,47,62,58,51
7,55,48,55,59,56,43
8,57,50,78,56,68,59
9,76,47,43,70,48,41
10,55,40,50,64,55,60
11,50,47,53,64,49,48
12,44,56,73,62,50,61
13,60,45,58,49,54,54
14,63,55,60,60,49,42
15,64,49,51,56,51,51
16,53,60,60,71,58,57
17,60,58,43,60,48,46
18,41,75,83,47,80,83
19,69,72,72,52,79,78
20,78,42,51,59,50,56
21,56,49,59,46,53,52
22,52,56,54,72,55,57
23,57,57,51,58,60,55
24,47,62,53,65,60,57
25,57,47,54,65,68,44
26,55,59,53,63,58,59
27,50,49,52,62,58,40
28,63,57,48,51,51,43
29,48,56,55,55,59,48
30,58,62,72,60,52,49
31,51,54,51,58,49,47
32,54,50,55,68,51,41
33,59,49,57,63,62,68
34,57,54,58,45,58,47
35,50,57,53,64,65,60
36,54,50,59,59,46,59
37,63,57,81,56,49,44
38,55,57,68,62,51,65
39,69,59,62,53,66,44
40,55,63,45,62,50,46
41,60,48,61,70,52,42
42,52,37,49,56,68,42
43,54,58,57,57,64,45
44,52,45,78,59,51,54
45,50,49,46,48,56,56
46,69,51,71,70,49,75
47,55,56,62,80,50,60
48,65,45,48,49,47,45
49,60,63,45,53,46,45
50,58,56,45,56,49,61
51,53,67,61,63,58,42
52,55,82,77,65,49,52
53,57,67,64,65,62,60
54,72,55,64,50,53,58
55,63,56,47,59,49,64
56,56,46,57,48,59,63
57,56,43,44,47,69,47
58,63,46,53,66,59,56
59,57,55,65,63,46,58
60,55,44,48,71,60,44
61,48,58,64,60,50,57
62,58,57,55,50,54,56
63,43,43,49,55,52,44
64,57,52,48,54,51,48
65,52,64,76,56,62,41
66,58,57,52,66,61,59
67,58,59,50,60,53,38
68,55,53,48,63,62,54
69,53,47,52,57,64,54
70,63,54,49,52,53,59
71,49,59,51,60,44,45
72,50,49,52,62,58,40
73,50,64,51,60,65,58
74,55,56,45,55,65,43
75,59,45,65,61,60,66
76,48,49,80,53,48,52
77,61,47,84,44,56,45
78,61,68,54,56,48,56
79,54,77,51,59,56,54
80,49,60,76,52,53,42
81,73,48,52,61,57,63
82,53,53,56,47,54,42
83,46,61,72,57,74,76
84,54,52,47,58,49,46
85,54,73,80,52,48,58
86,67,68,61,60,51,59
87,57,53,79,55,56,58
88,56,67,66,77,60,61
89,58,51,49,62,47,54
90,54,46,48,59,49,56
91,55,53,58,62,50,51
92,61,41,62,64,61,40
93,56,42,52,50,66,41
94,58,46,48,57,62,49
95,53,52,53,44,48,50
96,57,50,52,61,47,45
97,64,54,51,64,45,42
98,59,63,65,57,56,70
99,59,57,58,67,48,58
100,65,49,53,69,49,49
101,53,56,61,58,56,60
102,57,43,54,61,63,52
103,48,57,56,57,56,45
104,56,66,70,55,71,61
105,52,46,79,63,48,60
106,55,58,61,70,79,39
107,57,52,60,63,58,52
108,60,42,45,63,50,45
109,58,60,58,51,60,53
110,50,55,72,62,59,59
111,53,63,57,60,64,54
112,64,62,72,69,65,64
113,63,58,45,59,50,48
114,56,43,51,66,51,45
115,55,73,52,53,46,62
116,52,68,81,58,62,55
117,57,51,71,51,68,73
118,51,59,73,67,53,38
119,58,44,78,57,53,60
120,58,42,55,66,46,47
121,47,43,50,61,48,54
122,53,57,48,55,74,53
123,53,64,64,54,67,61
124,62,62,51,61,56,43
125,50,51,47,54,50,60
126,55,52,63,64,49,60
127,53,62,67,61,51,65
128,61,61,59,52,49,50
129,59,69,54,57,50,56
130,51,58,64,68,52,49
131,68,63,69,63,50,41
132,50,70,77,51,51,47
133,45,50,58,69,45,50
134,53,66,73,58,52,49
135,58,58,65,68,45,64
136,60,56,54,51,50,60
137,56,53,45,66,47,39
138,53,47,52,71,59,58
139,57,66,75,64,53,47
140,57,41,55,61,66,43
141,53,58,54,69,53,58
142,53,63,54,63,53,56
143,57,49,50,68,52,48
144,55,61,52,59,70,62
145,58,39,55,62,56,53
146,60,44,57,68,51,63
147,66,63,46,57,46,43
148,59,70,52,55,49,40
149,64,60,51,52,62,44
150,63,61,60,66,66,58
151,58,57,54,59,46,60
152,56,52,59,72,49,46
153,65,57,66,58,65,59
154,67,53,52,52,61,49
155,53,42,71,42,62,70
156,57,57,65,59,74,60
157,52,62,66,61,63,56
158,55,51,78,69,53,56
159,65,39,50,60,53,44
160,62,61,54,55,57,45
161,50,73,44,61,61,44
162,51,63,72,63,49,48
163,74,73,55,61,46,54
164,57,67,64,74,49,56
165,57,47,82,67,47,61
166,54,57,46,60,50,44
167,56,66,70,55,71,61
168,52,59,47,63,46,61
169,68,49,51,57,61,60
170,49,72,62,71,80,82
171,57,48,82,51,46,48
172,67,48,51,59,52,43
173,61,60,55,60,50,40
174,54,51,51,63,50,46
175,45,67,48,64,58,44
176,64,53,51,54,47,48
177,55,51,78,69,53,56
178,50,60,54,57,55,50
179,56,65,47,71,54,43
180,57,64,63,55,47,72
181,57,50,78,56,68,59
182,58,57,57,59,63,46
183,65,53,76,71,40,57
184,58,38,50,59,60,44
185,53,49,82,51,66,56
186,56,53,77,60,49,42
187,69,46,50,54,67,44
188,48,59,61,61,59,60
189,54,53,69,67,51,60
190,59,41,60,68,64,43
191,60,50,45,51,73,44
192,56,42,51,64,64,57
193,52,49,53,60,69,60
194,53,57,58,53,56,43
195,60,58,64,55,51,53
196,43,58,57,61,50,50
197,52,37,49,56,68,42
198,51,69,82,62,61,63
199,61,57,49,60,69,53
200,53,58,74,68,56,44
201,64,61,81,68,60,59
202,53,58,83,48,58,64
203,61,49,65,59,64,53
204,55,45,80,60,58,41
205,60,64,61,73,45,59
206,59,59,56,61,67,52
207,68,55,58,65,47,53
208,49,56,54,70,48,56
209,58,53,73,56,61,62
210,63,55,67,63,58,56
211,56,71,50,63,52,40
212,63,55,47,47,52,44
213,60,43,45,56,50,44
214,58,45,47,55,63,53
215,53,58,58,63,53,62
216,53,71,47,58,43,58
217,58,69,59,50,69,50
218,53,42,49,53,63,44
219,63,50,59,45,58,62
220,69,44,64,63,64,42
221,57,54,51,58,47,55
222,58,64,52,57,54,60
223,52,65,51,46,49,62
224,66,60,62,58,65,43
225,53,57,69,65,52,67
226,59,60,54,56,45,54
227,54,75,56,49,46,44
228,55,54,58,72,47,41
229,53,63,74,65,48,58
230,44,56,73,62,50,61
231,46,44,79,65,47,46
232,61,49,52,57,54,46
233,50,50,60,60,73,59
234,62,52,54,64,62,60
235,64,52,77,51,63,44
236,48,56,48,62,51,43
237,48,45,59,64,44,41
238,51,45,48,61,64,55
239,62,47,80,54,47,42
240,56,57,77,75,56,58
241,57,52,51,63,56,43
242,56,65,53,55,58,63
243,52,64,76,56,62,41
244,53,58,83,48,58,64
245,49,54,53,50,60,59
246,57,55,84,57,53,42
247,62,56,50,45,47,60
248,50,61,65,70,55,58
249,60,47,60,64,52,39
250,54,48,52,61,53,40
251,58,63,55,64,71,41
252,51,77,63,51,49,63
253,55,68,63,57,61,51
254,68,58,63,61,52,59
255,52,79,70,56,46,70
256,58,56,56,60,61,61
257,54,45,53,65,54,58
258,63,51,52,56,45,44
259,54,42,78,67,58,56
260,68,69,64,66,52,53
261,63,44,51,58,50,41
262,76,46,55,56,56,61
263,61,61,63,62,65,74
264,61,57,78,52,66,52
265,60,58,53,52,63,44
266,56,64,46,59,48,47
267,48,62,69,59,67,53
268,57,49,56,55,60,60
269,47,46,73,69,45,62
270,54,40,51,59,44,47
271,53,59,56,55,51,76
272,62,61,63,56,72,42
273,57,55,65,53,53,60
274,52,61,53,52,67,58
275,53,57,44,58,65,48
276,51,43,57,50,65,50
277,53,59,58,67,53,50
278,60,61,66,67,51,62
279,45,58,51,55,62,42
280,58,40,58,45,61,69
281,58,48,52,57,47,49
282,57,43,80,61,50,49
283,55,70,79,65,57,39
284,56,67,82,54,57,46
285,59,56,83,51,42,48
286,54,61,77,56,50,50
287,54,54,84,55,67,52
288,57,55,77,63,49,66
289,61,65,65,65,65,45
290,76,57,67,45,54,66
291,57,49,59,82,48,60
292,56,66,50,62,53,54
293,52,45,78,59,51,54
294,59,59,46,64,46,42
295,47,59,53,47,49,56
296,60,55,63,58,47,58
297,59,67,54,66,77,45
298,52,56,59,65,59,48
299,66,48,48,61,54,44
300,52,44,58,58,62,60
301,56,60,53,65,57,46
302,58,45,45,63,61,45
303,51,68,49,70,50,51
304,61,62,53,62,48,60
305,54,45,53,46,49,43
306,60,57,73,55,48,46
307,66,60,49,67,46,47
308,56,43,49,65,64,43
309,60,49,72,60,54,46
310,56,48,54,70,51,57
311,72,55,65,61,54,42
312,54,49,76,67,50,53
313,50,73,54,56,47,51
314,61,63,63,58,59,60
315,56,50,49,57,49,49
316,56,52,60,65,63,46
317,60,55,54,50,54,56
318,49,51,48,54,61,45
319,57,38,77,69,58,60
320,73,49,48,47,58,43
321,52,65,52,67,47,59
322,58,53,49,53,63,42
323,57,51,76,67,47,64
324,52,57,51,53,60,54
325,65,52,56,61,52,54
326,57,52,55,59,57,44
327,50,46,55,62,61,54
328,56,48,75,65,58,61
329,52,59,57,50,68,41
330,53,53,54,61,68,59
331,75,54,56,63,47,63
332,57,61,53,67,44,51
333,55,46,51,54,46,43
334,60,68,61,60,45,55
335,54,73,80,52,48,58
336,67,47,54,64,57,39
337,66,46,53,54,63,59
338,58,44,43,60,51,61
339,60,57,73,55,48,46
340,55,49,62,56,59,61
341,52,65,49,62,66,44
342,53,59,50,66,47,52
343,63,61,60,66,66,58
344,58,51,51,68,50,42
345,52,65,61,64,61,57
346,54,45,58,56,61,62
347,72,47,57,61,52,64
348,53,65,48,49,68,55
349,52,64,53,54,53,45
350,55,56,52,65,53,44
351,70,62,72,66,49,76
352,55,52,52,63,58,66
353,57,52,61,57,53,59
354,51,46,56,57,46,49
355,57,73,48,52,45,42
356,76,62,49,61,47,43
357,49,59,76,52,70,41
358,57,51,47,59,55,52
359,51,49,76,55,53,53
360,57,48,60,64,48,42
361,51,61,44,54,67,49
362,51,45,54,62,47,43
363,54,52,58,61,46,56
364,56,59,47,66,48,45
365,51,65,52,74,45,50
366,56,62,53,51,59,54
367,61,51,52,55,47,48
368,51,72,75,66,57,82
369,51,46,53,64,48,51
370,61,48,51,56,70,42
371,64,40,54,65,56,42
372,57,49,49,73,46,50
373,57,70,62,56,64,40
374,59,52,58,58,62,43
